data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
MUV051_matrix.h5,0.2085,"(2067, 20894)",3454.0,"(431, 20894)",987.0,292,4684,16015429
AML_matrix.h5,0.615,"(1548, 14379)",2783.0,"(952, 14379)",1621.0,482,4896,16016381
UPN1_matrix.h5,0.8059,"(2509, 15529)",12597.0,"(2022, 15529)",12597.0,200,5101,16018403
UPN4_j10_matrix.h5,0.6967,"(1810, 15238)",8222.0,"(1261, 15238)",8222.0,202,5139,16019664
UPN6_matrix.h5,0.8127,"(3470, 15723)",10599.0,"(2820, 15723)",10599.0,200,5024,16022484
UPN3_matrix.h5,0.6747,"(950, 13801)",1797.0,"(641, 13801)",1329.0,237,5055,16023125
UPN6_j10_matrix.h5,0.8618,"(832, 12286)",9986.0,"(717, 12286)",9986.0,200,4884,16023842
UPN4_matrix.h5,0.7087,"(2753, 16056)",8222.0,"(1951, 16056)",8222.0,200,5202,16025793
UPN1_j10_matrix.h5,0.8356,"(864, 13202)",8101.0,"(722, 13202)",8101.0,201,5168,16026515
UPN7_j17_matrix.h5,0.8574,"(617, 12037)",9998.0,"(529, 12037)",9998.0,201,5184,16027044
UPN2_matrix.h5,0.7896,"(1326, 13923)",7191.0,"(1047, 13923)",7191.0,216,5041,16028091
UPN5_matrix.h5,0.7412,"(970, 13409)",10212.0,"(719, 13409)",10212.0,202,4896,16028810
Blood6_matrix.h5,0.8011,"(377, 10588)",2950.0,"(302, 10588)",2950.0,208,4013,16029112
BAL11_matrix.h5,0.8285,"(1265, 12132)",2347.0,"(1048, 12132)",1813.0,201,4644,16030160
Blood37_matrix.h5,0.7156,"(1280, 12855)",4442.0,"(916, 12855)",4442.0,203,4551,16031076
Blood23_matrix.h5,0.8008,"(2199, 12727)",4769.0,"(1761, 12727)",4769.0,206,4390,16032837
Blood9_matrix.h5,0.7554,"(1112, 12275)",6105.0,"(840, 12275)",6105.0,203,4375,16033677
BAL1_matrix.h5,0.9207,"(1286, 10645)",2729.0,"(1184, 10645)",1421.0,219,4200,16034861
Blood25_matrix.h5,0.7906,"(1127, 12215)",5333.0,"(891, 12215)",5333.0,205,4545,16035752
Blood18_matrix.h5,0.9232,"(2996, 12462)",3236.0,"(2766, 12462)",3236.0,210,3793,16038518
Blood5_matrix.h5,0.8136,"(971, 11848)",4989.0,"(790, 11848)",4989.0,219,4724,16039308
Blood34_matrix.h5,0.7391,"(1326, 12853)",8382.0,"(980, 12853)",8382.0,201,3916,16040288
BAL6_matrix.h5,0.7889,"(881, 14205)",8854.0,"(695, 14205)",8854.0,203,7450,16040983
Blood32_matrix.h5,0.8964,"(2316, 11651)",6127.0,"(2076, 11651)",6127.0,203,3607,16043059
Blood36_matrix.h5,1.0,"(2480, 10912)",842.0,"(2480, 10912)",842.0,238,2249,16045539
Blood31_matrix.h5,0.7204,"(626, 11382)",1731.0,"(451, 11382)",707.0,274,4407,16045990
BAL22_matrix.h5,0.9386,"(4024, 13439)",2723.0,"(3777, 13439)",2554.0,201,4382,16049767
Blood3_matrix.h5,0.9471,"(1927, 11474)",4579.0,"(1825, 11474)",4579.0,200,3954,16051592
Blood17_matrix.h5,0.923,"(2391, 11930)",1328.0,"(2207, 11930)",1328.0,204,3806,16053799
BAL5_matrix.h5,0.9319,"(1954, 11540)",3288.0,"(1821, 11540)",3288.0,215,3713,16055620
Blood10_matrix.h5,0.861,"(3468, 13058)",4568.0,"(2986, 13058)",4568.0,212,3999,16058606
Blood42_matrix.h5,0.8696,"(1687, 12572)",4380.0,"(1467, 12572)",4380.0,209,3820,16060073
BAL4_matrix.h5,0.8595,"(612, 13703)",4506.0,"(526, 13703)",4506.0,200,6313,16060599
Blood1_matrix.h5,0.9324,"(2130, 12318)",5780.0,"(1986, 12318)",5780.0,202,4075,16062585
Blood8_matrix.h5,0.732,"(4508, 13877)",2228.0,"(3300, 13877)",2228.0,214,4655,16065885
Blood35_matrix.h5,0.8901,"(2465, 12370)",9442.0,"(2194, 12370)",9442.0,201,3675,16068079
Blood39_matrix.h5,0.9404,"(2986, 12829)",4832.0,"(2808, 12829)",4564.0,205,3391,16070887
Blood40_matrix.h5,0.8956,"(3075, 13211)",5737.0,"(2754, 13211)",5737.0,200,3479,16073641
BAL9_matrix.h5,0.766,"(3342, 14537)",5789.0,"(2560, 14537)",3442.0,205,6108,16076201
Blood7_matrix.h5,0.8877,"(1175, 11757)",7460.0,"(1043, 11757)",7460.0,208,4513,16077244
BAL25_matrix.h5,0.8203,"(1603, 13605)",20792.0,"(1315, 13605)",20792.0,200,6199,16078559
Blood41_matrix.h5,0.8829,"(1136, 12011)",1719.0,"(1003, 12011)",1719.0,204,3621,16079562
BAL2_matrix.h5,0.5111,"(4162, 15701)",12432.0,"(2127, 15701)",2617.0,212,5998,16081689
Blood2_matrix.h5,0.8487,"(1500, 12234)",1336.0,"(1273, 12234)",716.0,229,4492,16082962
Blood38_matrix.h5,0.924,"(2764, 13208)",4832.0,"(2554, 13208)",4832.0,200,3341,16085516
Blood16_matrix.h5,0.8442,"(2465, 13360)",1769.0,"(2081, 13360)",904.0,203,4163,16087597
BAL29_matrix.h5,0.95,"(2479, 12075)",16432.0,"(2355, 12075)",16432.0,200,4801,16089952
BAL24_matrix.h5,0.8847,"(2559, 13918)",5185.0,"(2264, 13918)",2090.0,201,6719,16092216
BAL23_matrix.h5,0.6059,"(5347, 15991)",14603.0,"(3240, 15991)",14603.0,201,6140,16095456
BAL16_matrix.h5,0.8949,"(2740, 12145)",3071.0,"(2452, 12145)",1942.0,201,4821,16097908
Blood27_matrix.h5,0.9366,"(2491, 12034)",5997.0,"(2333, 12034)",5997.0,207,3805,16100241
BAL18_matrix.h5,0.9981,"(3201, 9941)",1213.0,"(3195, 9941)",1213.0,224,2557,16103436
BAL3_matrix.h5,0.9615,"(2337, 10993)",4207.0,"(2247, 10993)",4207.0,206,4304,16105683
BAL27_matrix.h5,0.8918,"(1432, 13929)",8372.0,"(1277, 13929)",4612.0,204,5245,16106960
Blood33_matrix.h5,0.9419,"(3681, 12608)",6877.0,"(3467, 12608)",6877.0,204,4073,16110427
Blood24_matrix.h5,0.8793,"(1624, 11867)",5160.0,"(1428, 11867)",5160.0,203,4188,16111855
Blood11_matrix.h5,0.807,"(1316, 11713)",3843.0,"(1062, 11713)",3843.0,242,4179,16112917
BAL8_matrix.h5,0.9251,"(1376, 11204)",1493.0,"(1273, 11204)",913.0,203,4370,16114190
BAL10_matrix.h5,0.4881,"(2981, 14165)",12698.0,"(1455, 14165)",3607.0,205,7502,16115645
BAL17_matrix.h5,0.8906,"(4250, 12769)",3584.0,"(3785, 12769)",2014.0,200,4529,16119430
Blood14_matrix.h5,0.6783,"(715, 12217)",17955.0,"(485, 12217)",3570.0,208,5135,16119915
BAL7_matrix.h5,0.9489,"(4324, 12553)",2337.0,"(4103, 12553)",1875.0,204,3510,16124018
Blood22_matrix.h5,0.9321,"(1531, 11387)",5113.0,"(1427, 11387)",5113.0,203,3581,16125445
Blood4_matrix.h5,0.8328,"(3026, 13185)",3024.0,"(2520, 13185)",3024.0,252,4627,16127965
Blood29_matrix.h5,0.9629,"(1565, 10395)",15458.0,"(1507, 10395)",15458.0,200,3830,16129472
BAL14_matrix.h5,0.807,"(1710, 15481)",8302.0,"(1380, 15481)",8119.0,201,7513,16130852
Adult_HT-188_adult_Duo_matrix.h5,0.5444,"(2511, 16222)",28005.0,"(1367, 16222)",17944.0,1060,8744,16132219
Adult_HT-185_adult_Duo_matrix.h5,0.6091,"(2689, 16325)",17581.0,"(1638, 16325)",15436.0,1005,7965,16133857
pbmc68k_matrix.h5,0.9999,"(68544, 14138)",260.0,"(68540, 14138)",260.0,200,2699,16202397
P95_3_matrix.h5,0.693,"(1984, 16062)",1559.0,"(1375, 16062)",1113.0,200,5909,16203772
P96_3_matrix.h5,0.7367,"(1660, 15729)",980.0,"(1223, 15729)",807.0,200,7504,16204995
P90_5_matrix.h5,0.9131,"(2302, 15373)",953.0,"(2102, 15373)",953.0,200,5262,16207097
P33_5_matrix.h5,0.9632,"(3291, 15091)",778.0,"(3170, 15091)",778.0,200,4750,16210267
P33_6_matrix.h5,0.8974,"(2106, 15056)",899.0,"(1890, 15056)",899.0,200,6015,16212157
P106_8_matrix.h5,0.8931,"(3640, 15981)",816.0,"(3251, 15981)",737.0,200,5662,16215408
P105_1_matrix.h5,0.9785,"(2745, 15818)",492.0,"(2686, 15818)",492.0,200,3747,16218094
P84_3_matrix.h5,0.9134,"(10113, 17928)",789.0,"(9237, 17928)",789.0,200,5724,16227331
P106_7_matrix.h5,0.8422,"(4036, 16223)",1549.0,"(3399, 16223)",700.0,200,6839,16230730
P111_5_matrix.h5,0.9861,"(2157, 14780)",518.0,"(2127, 14780)",518.0,200,4460,16232857
P84_5_matrix.h5,0.9346,"(2309, 15482)",1003.0,"(2158, 15482)",832.0,200,5657,16235015
P105_6_matrix.h5,0.9993,"(4388, 16659)",277.0,"(4385, 16659)",277.0,200,2742,16239400
P96_6_matrix.h5,0.8101,"(1743, 15913)",1148.0,"(1412, 15913)",809.0,200,6873,16240812
P105_5_matrix.h5,0.9948,"(4038, 16324)",711.0,"(4017, 16324)",711.0,200,4696,16244829
P106_13_matrix.h5,0.9032,"(5993, 16281)",778.0,"(5413, 16281)",463.0,200,5071,16250242
P111_7_matrix.h5,0.9726,"(2629, 15933)",715.0,"(2557, 15933)",715.0,200,5166,16252799
P33_2_matrix.h5,0.9478,"(4888, 16447)",953.0,"(4633, 16447)",621.0,200,4825,16257432
P111_4_matrix.h5,0.9946,"(927, 13392)",337.0,"(922, 13392)",337.0,201,3097,16258354
P107_2_matrix.h5,0.9993,"(6000, 16081)",635.0,"(5996, 16081)",635.0,285,2756,16264350
P107_5_matrix.h5,0.9961,"(4826, 16595)",536.0,"(4807, 16595)",536.0,200,3700,16269157
P69_3_matrix.h5,0.7201,"(5969, 18183)",2984.0,"(4298, 18183)",2072.0,200,6624,16273455
P33_8_matrix.h5,0.9951,"(4518, 16143)",563.0,"(4496, 16143)",563.0,200,3277,16277951
P95_10_matrix.h5,0.9984,"(5739, 20757)",670.0,"(5730, 20757)",551.0,200,2937,16283681
P69_6_matrix.h5,0.9185,"(5606, 17544)",1467.0,"(5149, 17544)",1412.0,200,6538,16288830
P106_4_matrix.h5,0.9592,"(5561, 15872)",845.0,"(5334, 15872)",646.0,200,5121,16294164
P33_10_matrix.h5,0.9992,"(9300, 19070)",1073.0,"(9293, 19070)",643.0,200,2786,16303457
P90_1_matrix.h5,0.9521,"(4345, 17827)",754.0,"(4137, 17827)",754.0,200,5798,16307594
P107_7_matrix.h5,0.9967,"(5996, 17008)",552.0,"(5976, 17008)",552.0,204,3181,16313570
P111_10_matrix.h5,0.9975,"(3164, 16999)",853.0,"(3156, 16999)",853.0,200,3360,16316726
P69_4_matrix.h5,0.7225,"(5578, 18290)",4250.0,"(4030, 18290)",2621.0,200,6816,16320756
P90_3_matrix.h5,0.7786,"(2109, 16544)",2848.0,"(1642, 16544)",1747.0,200,6320,16322398
P33_4_matrix.h5,0.9956,"(10084, 17128)",545.0,"(10040, 17128)",545.0,200,3430,16332438
P95_1_matrix.h5,0.9304,"(3102, 15920)",1988.0,"(2886, 15920)",609.0,200,7157,16335324
P33_11_matrix.h5,0.9993,"(5999, 16499)",550.0,"(5995, 16499)",550.0,259,2779,16341319
P97_1_matrix.h5,0.5651,"(3555, 16138)",1476.0,"(2009, 16138)",1199.0,200,6598,16343328
P107_6_matrix.h5,0.9956,"(3899, 15914)",677.0,"(3882, 15914)",677.0,200,3579,16347210
P111_3_matrix.h5,0.9251,"(1856, 14894)",678.0,"(1717, 14894)",644.0,200,4983,16348927
P33_7_matrix.h5,0.9545,"(4091, 15727)",990.0,"(3905, 15727)",666.0,200,5417,16352832
P93_4_matrix.h5,0.7941,"(2992, 17381)",1668.0,"(2376, 17381)",1630.0,200,7218,16355208
P33_1_matrix.h5,0.98,"(5996, 15674)",575.0,"(5876, 15674)",566.0,210,4044,16361084
P93_7_matrix.h5,0.9091,"(2980, 15356)",867.0,"(2709, 15356)",669.0,200,6064,16363793
P95_7_matrix.h5,0.8562,"(2768, 15821)",1554.0,"(2370, 15821)",924.0,200,7531,16366163
P107_10_matrix.h5,0.9988,"(6000, 18088)",2053.0,"(5993, 18088)",891.0,385,4109,16372156
P93_6_matrix.h5,0.9062,"(1908, 15280)",968.0,"(1729, 15280)",573.0,200,5451,16373885
P96_1_matrix.h5,0.8492,"(2109, 15496)",680.0,"(1791, 15496)",565.0,200,5103,16375676
P90_8_matrix.h5,0.9067,"(1597, 14122)",812.0,"(1448, 14122)",584.0,200,5717,16377124
P107_1_matrix.h5,0.998,"(9314, 17794)",652.0,"(9295, 17794)",652.0,200,3431,16386419
P106_14_matrix.h5,0.8618,"(6000, 16446)",666.0,"(5171, 16446)",660.0,217,5079,16391590
P96_5_matrix.h5,0.8986,"(3344, 18426)",1054.0,"(3005, 18426)",859.0,200,5428,16394595
P95_8_matrix.h5,0.8889,"(2620, 17907)",1403.0,"(2329, 17907)",893.0,200,5972,16396924
P95_2_matrix.h5,0.883,"(2864, 16661)",2095.0,"(2529, 16661)",1836.0,200,7495,16399453
P97_3_matrix.h5,0.6192,"(3503, 17488)",1743.0,"(2169, 17488)",1024.0,200,6564,16401622
P93_3_matrix.h5,0.8844,"(2050, 14719)",1512.0,"(1813, 14719)",752.0,200,6057,16403435
P111_8_matrix.h5,0.9006,"(1248, 14479)",1196.0,"(1124, 14479)",1196.0,200,6329,16404559
P93_8_matrix.h5,0.9159,"(2722, 14738)",746.0,"(2493, 14738)",746.0,200,5581,16407052
P106_6_matrix.h5,0.947,"(5379, 16056)",637.0,"(5094, 16056)",527.0,200,4720,16412146
P106_1_matrix.h5,0.975,"(6000, 15939)",535.0,"(5850, 15939)",431.0,235,4066,16417996
P95_9_matrix.h5,0.9926,"(5134, 19486)",731.0,"(5096, 19486)",731.0,200,4826,16423092
P106_9_matrix.h5,0.9998,"(4937, 14752)",369.0,"(4936, 14752)",369.0,200,3051,16428028
P95_4_matrix.h5,0.7334,"(2033, 16246)",1182.0,"(1491, 16246)",816.0,200,6832,16429519
P106_10_matrix.h5,0.9978,"(5996, 16155)",636.0,"(5983, 16155)",636.0,202,3192,16435502
P69_1_matrix.h5,0.8401,"(10598, 18591)",2416.0,"(8903, 18591)",2416.0,200,6032,16444405
P84_1_matrix.h5,0.9755,"(11982, 18306)",658.0,"(11688, 18306)",547.0,203,5174,16456093
P97_6_matrix.h5,0.8593,"(3425, 16870)",2738.0,"(2943, 16870)",1172.0,200,7247,16459036
P97_2_matrix.h5,0.8202,"(3770, 17192)",3923.0,"(3092, 17192)",1782.0,200,8083,16462128
P90_6_matrix.h5,0.8684,"(3466, 16363)",951.0,"(3010, 16363)",822.0,200,6368,16465138
P95_5_matrix.h5,0.7741,"(1740, 15783)",1136.0,"(1347, 15783)",939.0,200,6282,16466485
P84_7_matrix.h5,0.9597,"(4616, 16914)",1352.0,"(4430, 16914)",848.0,200,6705,16470915
P111_6_matrix.h5,0.9769,"(2427, 15021)",1607.0,"(2371, 15021)",1607.0,200,4348,16473286
P106_12_matrix.h5,0.9993,"(5996, 16528)",596.0,"(5992, 16528)",596.0,207,3177,16479278
P105_4_matrix.h5,0.985,"(1197, 13501)",1551.0,"(1179, 13501)",1551.0,200,3788,16480457
P105_3_matrix.h5,0.9036,"(788, 13783)",497.0,"(712, 13783)",497.0,200,4174,16481169
P97_5_matrix.h5,0.8075,"(3932, 16526)",1344.0,"(3175, 16526)",1211.0,200,6038,16484344
P90_7_matrix.h5,0.8409,"(3117, 18544)",1224.0,"(2621, 18544)",833.0,200,6530,16486965
P111_12_matrix.h5,0.9975,"(1213, 14152)",865.0,"(1210, 14152)",865.0,201,2556,16488175
P96_4_matrix.h5,0.7984,"(1399, 15250)",1013.0,"(1117, 15250)",946.0,200,6129,16489292
P33_9_matrix.h5,0.9988,"(6000, 16572)",655.0,"(5993, 16572)",655.0,219,2839,16495285
P90_2_matrix.h5,0.8703,"(3577, 20595)",1747.0,"(3113, 20595)",1747.0,200,6208,16498398
P107_9_matrix.h5,1.0,"(6000, 17229)",392.0,"(6000, 17229)",392.0,273,2005,16504398
P97_4_matrix.h5,0.6791,"(2555, 16319)",1424.0,"(1735, 16319)",938.0,200,6517,16506133
P84_2_matrix.h5,0.9807,"(6995, 17006)",1013.0,"(6860, 17006)",1013.0,200,4013,16512993
P93_2_matrix.h5,0.5902,"(1342, 14711)",821.0,"(792, 14711)",595.0,200,5880,16513785
P33_3_matrix.h5,0.9756,"(5746, 16329)",747.0,"(5606, 16329)",670.0,200,3906,16519391
P111_2_matrix.h5,0.9381,"(1325, 14999)",757.0,"(1243, 14999)",757.0,200,5148,16520634
P90_4_matrix.h5,0.9112,"(2095, 16142)",2156.0,"(1909, 16142)",2156.0,200,7685,16522543
P69_5_matrix.h5,0.8923,"(5875, 18690)",1394.0,"(5242, 18690)",1394.0,200,6269,16527785
P97_7_matrix.h5,0.928,"(2029, 15094)",873.0,"(1883, 15094)",810.0,200,4896,16529668
P105_2_matrix.h5,0.7969,"(1398, 15705)",698.0,"(1114, 15705)",580.0,200,6278,16530782
P105_7_matrix.h5,0.996,"(3791, 16263)",501.0,"(3776, 16263)",501.0,200,3216,16534558
P96_2_matrix.h5,0.83,"(1706, 14860)",547.0,"(1416, 14860)",466.0,201,5233,16535974
P95_6_matrix.h5,0.8625,"(2472, 16747)",1096.0,"(2132, 16747)",661.0,200,6405,16538106
P33_12_matrix.h5,0.9998,"(9986, 16744)",446.0,"(9984, 16744)",446.0,200,2727,16548090
P97_8_matrix.h5,0.8168,"(6000, 19940)",1341.0,"(4901, 19940)",1278.0,286,7109,16552991
P111_11_matrix.h5,0.9895,"(1049, 14078)",565.0,"(1038, 14078)",565.0,201,3690,16554029
P107_4_matrix.h5,0.9985,"(6000, 16945)",430.0,"(5991, 16945)",430.0,287,3090,16560020
P69_7_matrix.h5,0.8607,"(3518, 17037)",1877.0,"(3028, 17037)",1877.0,200,6854,16563048
P111_1_matrix.h5,0.9392,"(724, 12669)",715.0,"(680, 12669)",606.0,200,4687,16563728
P106_5_matrix.h5,0.9718,"(4825, 15810)",453.0,"(4689, 15810)",453.0,200,4219,16568417
P107_3_matrix.h5,0.9988,"(5998, 16673)",441.0,"(5991, 16673)",441.0,228,2717,16574408
P106_11_matrix.h5,0.9957,"(5988, 16125)",855.0,"(5962, 16125)",855.0,200,3521,16580370
P84_4_matrix.h5,0.9933,"(10747, 17028)",434.0,"(10675, 17028)",390.0,200,4038,16591045
P107_8_matrix.h5,1.0,"(12000, 18777)",393.0,"(12000, 18777)",393.0,224,2273,16603045
P95_12_matrix.h5,0.9989,"(5482, 18164)",505.0,"(5476, 18164)",505.0,200,3131,16608521
P111_9_matrix.h5,0.9857,"(3009, 18467)",1091.0,"(2966, 18467)",1091.0,200,3926,16611487
P93_1_matrix.h5,0.8843,"(3327, 15372)",1806.0,"(2942, 15372)",663.0,200,5330,16614429
P105_8_matrix.h5,0.9903,"(3087, 16729)",423.0,"(3057, 16729)",423.0,200,4139,16617486
P84_6_matrix.h5,0.8753,"(2053, 15811)",1067.0,"(1797, 15811)",770.0,200,6481,16619283
P106_3_matrix.h5,0.988,"(5986, 15759)",476.0,"(5914, 15759)",476.0,201,5111,16625197
P69_8_matrix.h5,0.8982,"(3359, 16091)",1832.0,"(3017, 16091)",1832.0,200,7282,16628214
P95_11_matrix.h5,0.9902,"(4600, 17043)",962.0,"(4555, 17043)",962.0,200,3502,16632769
P106_2_matrix.h5,0.8823,"(9944, 17863)",1199.0,"(8774, 17863)",770.0,200,5019,16641543
P93_5_matrix.h5,0.9357,"(2052, 14648)",623.0,"(1920, 14648)",527.0,200,5556,16643463
P69_2_matrix.h5,0.8042,"(10333, 18593)",3341.0,"(8310, 18593)",1288.0,200,6561,16651773
E06_matrix.h5,0.8935,"(12079, 18488)",22641.0,"(10792, 18488)",17598.0,215,5782,16662565
E12_matrix.h5,0.4442,"(3962, 19082)",43994.0,"(1760, 19082)",10646.0,218,5813,16664325
E04_matrix.h5,0.9165,"(7269, 18727)",18151.0,"(6662, 18727)",18151.0,217,5921,16670987
ESC09_matrix.h5,0.8358,"(4775, 17497)",65530.0,"(3991, 17497)",44537.0,200,4892,16674978
E07_matrix.h5,0.9251,"(9035, 18324)",18014.0,"(8358, 18324)",18014.0,230,5815,16683336
ESC07_matrix.h5,0.9382,"(6765, 16868)",23224.0,"(6347, 16868)",23224.0,201,4865,16689683
ESN11_matrix.h5,0.4723,"(3121, 18366)",35942.0,"(1474, 18366)",18181.0,219,4929,16691157
E13_matrix.h5,0.7317,"(1528, 18003)",25917.0,"(1118, 18003)",1052.0,281,5817,16692275
E14_matrix.h5,0.9689,"(225, 14453)",2608.0,"(218, 14453)",2608.0,239,4748,16692493
E19_matrix.h5,0.8965,"(2319, 17177)",15857.0,"(2079, 17177)",15857.0,218,5780,16694572
E15_matrix.h5,0.7535,"(9547, 19976)",29714.0,"(7194, 19976)",29714.0,227,5860,16701766
ESC11_matrix.h5,0.84,"(4949, 17006)",45906.0,"(4157, 17006)",32372.0,201,4900,16705923
E11_matrix.h5,0.7925,"(6221, 19337)",45906.0,"(4930, 19337)",17990.0,202,5926,16710853
E22_matrix.h5,0.7489,"(4756, 19355)",101924.0,"(3562, 19355)",39341.0,230,5812,16714415
ESC22_matrix.h5,0.717,"(6632, 19500)",101924.0,"(4755, 19500)",48610.0,200,4936,16719170
ESN13_matrix.h5,0.4543,"(3095, 18311)",35984.0,"(1406, 18311)",17295.0,220,4948,16720576
ESC06_matrix.h5,0.8536,"(3824, 16216)",23198.0,"(3264, 16216)",23198.0,221,4866,16723840
E21_matrix.h5,0.7847,"(1375, 17483)",44131.0,"(1079, 17483)",32416.0,227,5813,16724919
ESC15_matrix.h5,0.7368,"(7269, 18995)",43444.0,"(5356, 18995)",29714.0,202,4927,16730275
ESC18_matrix.h5,0.6886,"(4027, 17759)",18680.0,"(2773, 17759)",12757.0,219,4951,16733048
E09_matrix.h5,0.811,"(8814, 18364)",64860.0,"(7148, 18364)",40210.0,202,5897,16740196
E17_matrix.h5,0.6296,"(5637, 19042)",47195.0,"(3549, 19042)",24451.0,240,5866,16743745
ESC17_matrix.h5,0.6814,"(4008, 17799)",19131.0,"(2731, 17799)",2550.0,205,4937,16746476
ESC12_matrix.h5,0.5107,"(1541, 17644)",47626.0,"(787, 17644)",10646.0,219,4891,16747263
ESN15_matrix.h5,0.5241,"(7144, 18144)",52354.0,"(3744, 18144)",28060.0,227,4930,16751007
ESC16_matrix.h5,0.7804,"(10749, 18716)",60711.0,"(8388, 18716)",36989.0,201,4948,16759395
E25_matrix.h5,0.6454,"(1444, 18250)",59410.0,"(932, 18250)",25636.0,222,5782,16760327
E16_matrix.h5,0.7822,"(11787, 19875)",60711.0,"(9220, 19875)",30973.0,200,5873,16769547
E18_matrix.h5,0.764,"(15332, 19922)",73273.0,"(11713, 19922)",33702.0,229,5855,16781260
E20_matrix.h5,0.7119,"(3679, 18894)",52215.0,"(2619, 18894)",52215.0,203,5848,16783879
E24_matrix.h5,0.4825,"(827, 17469)",10162.0,"(399, 17469)",1249.0,259,5824,16784278
ESN12_matrix.h5,0.453,"(3212, 17582)",12577.0,"(1455, 17582)",2363.0,216,4930,16785733
E23_matrix.h5,0.6118,"(711, 16973)",23331.0,"(435, 16973)",6321.0,269,5784,16786168
BRI_241_matrix.h5,0.633,"(7050, 16495)",4000.0,"(4463, 16495)",1680.0,200,5596,16790631
BRI_238_matrix.h5,0.6686,"(5814, 16637)",13037.0,"(3887, 16637)",5252.0,202,6958,16794518
BRI_242_matrix.h5,0.7715,"(4656, 16322)",4020.0,"(3592, 16322)",3187.0,200,5973,16798110
BRI_234_matrix.h5,0.8838,"(7409, 16737)",1818.0,"(6548, 16737)",914.0,202,7691,16804658
BRI_249_matrix.h5,0.9078,"(9107, 16633)",1667.0,"(8267, 16633)",1667.0,202,5029,16812925
BRI_236_matrix.h5,0.8494,"(6034, 16573)",3634.0,"(5125, 16573)",1286.0,200,5503,16818050
BRI_158_matrix.h5,0.8815,"(4944, 16358)",1533.0,"(4358, 16358)",971.0,200,5056,16822408
BRI_233_matrix.h5,0.8972,"(7980, 16793)",14386.0,"(7160, 16793)",931.0,205,7448,16829568
BRI_247_matrix.h5,0.8214,"(3125, 16251)",5068.0,"(2567, 16251)",948.0,200,6995,16832135
BRI_159_matrix.h5,0.8451,"(7417, 16358)",1752.0,"(6268, 16358)",1071.0,201,4702,16838403
BRI_160_matrix.h5,0.8689,"(3197, 16100)",9813.0,"(2778, 16100)",9813.0,200,5111,16841181
BRI_245_matrix.h5,0.7601,"(5611, 16885)",13461.0,"(4265, 16885)",4076.0,200,5987,16845446
BRI_244_matrix.h5,0.8076,"(6298, 16577)",20760.0,"(5086, 16577)",20760.0,200,7008,16850532
BRI_155_matrix.h5,0.9348,"(6061, 16128)",1123.0,"(5666, 16128)",910.0,201,5429,16856198
BRI_243_matrix.h5,0.6174,"(4815, 16687)",12334.0,"(2973, 16687)",12334.0,202,6570,16859171
BRI_246_matrix.h5,0.8357,"(2100, 15933)",12499.0,"(1755, 15933)",12499.0,200,6578,16860926
BRI_248_matrix.h5,0.8586,"(6930, 16530)",6460.0,"(5950, 16530)",965.0,205,7957,16866876
BRI_237_matrix.h5,0.8972,"(7040, 16761)",5578.0,"(6316, 16761)",1464.0,201,7707,16873192
BRI_235_matrix.h5,0.6335,"(7174, 16427)",21898.0,"(4545, 16427)",7329.0,200,6669,16877737
P1-N_matrix.h5,0.9707,"(2492, 6557)",7491.0,"(2419, 6557)",7491.0,372,3747,16880156
P1-T_matrix.h5,0.9274,"(1818, 6557)",11726.0,"(1686, 6557)",11726.0,392,3817,16881842
P2-T_matrix.h5,0.75,"(1284, 9296)",7949.0,"(963, 9296)",6872.0,205,4919,16882805
P2-N_matrix.h5,0.4884,"(1288, 9301)",12357.0,"(629, 9301)",12357.0,563,4909,16883434
P3-N_matrix.h5,0.9985,"(663, 3197)",1423.0,"(662, 3197)",1423.0,461,2494,16884096
P3-T_matrix.h5,0.9637,"(303, 3196)",3865.0,"(292, 3196)",3865.0,834,2483,16884388
P4-N_matrix.h5,0.9709,"(2026, 7370)",8566.0,"(1967, 7370)",8566.0,426,4144,16886355
P4-T_matrix.h5,0.6964,"(1400, 7400)",6872.0,"(975, 7400)",4572.0,611,4478,16887330
AM2_matrix.h5,0.5415,"(2506, 17232)",3011.0,"(1357, 17232)",1938.0,241,7259,16888687
AM3_pre_matrix.h5,0.5395,"(13443, 18890)",7282.0,"(7252, 18890)",7282.0,200,8064,16895939
AM5_matrix.h5,0.5419,"(9808, 19423)",2253.0,"(5315, 19423)",1562.0,200,7130,16901254
AM6_matrix.h5,0.5137,"(11104, 18769)",8115.0,"(5704, 18769)",4841.0,202,6752,16906958
AM1_matrix.h5,0.7099,"(6715, 19159)",10496.0,"(4767, 19159)",10496.0,206,7630,16911725
AM3_post_matrix.h5,0.5135,"(12518, 18893)",21465.0,"(6428, 18893)",21465.0,202,7374,16918153
CM1_lym_matrix.h5,0.6124,"(11204, 19030)",25608.0,"(6861, 19030)",19264.0,203,8290,16925014
CM1_matrix.h5,0.9599,"(9996, 18324)",15937.0,"(9595, 18324)",15937.0,260,7274,16934609
AM4_matrix.h5,0.4983,"(11346, 18035)",2398.0,"(5654, 18035)",1756.0,200,7145,16940263
CM2_matrix.h5,0.4499,"(8066, 18871)",9339.0,"(3629, 18871)",3386.0,202,9389,16943892
CM3_matrix.h5,0.5025,"(10748, 18508)",4145.0,"(5401, 18508)",1434.0,204,8943,16949293
