data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
10X348_1_matrix.h5,0.1822,"(7616, 20435)",3615.0,"(1388, 20435)",851.0,527,7046,57323841
10X392_6_matrix.h5,0.6234,"(3226, 19450)",4771.0,"(2011, 19450)",1182.0,504,7164,57325852
10X362_6_matrix.h5,0.3874,"(3214, 20188)",2957.0,"(1245, 20188)",706.0,467,9795,57327097
10X203_4_matrix.h5,0.1069,"(4807, 21064)",6172.0,"(514, 21064)",411.0,680,9905,57327611
10X241_6_matrix.h5,0.1491,"(4949, 20528)",3672.0,"(738, 20528)",547.0,497,9671,57328349
10X357_2_matrix.h5,0.9639,"(2882, 18076)",2267.0,"(2778, 18076)",780.0,482,6701,57331127
10X356_4_matrix.h5,0.9644,"(5896, 19221)",862.0,"(5686, 19221)",469.0,677,7229,57336813
10X173_2_matrix.h5,0.0403,"(4767, 20860)",4236.0,"(192, 20860)",450.0,671,10331,57337005
10X265_8_matrix.h5,0.0481,"(10900, 21379)",6841.0,"(524, 21379)",657.0,741,12058,57337529
10X265_6_matrix.h5,0.0764,"(6491, 21045)",4415.0,"(496, 21045)",801.0,736,9244,57338025
10X203_3_matrix.h5,0.1034,"(4524, 21006)",5391.0,"(468, 21006)",405.0,720,11139,57338493
10X319_7_matrix.h5,0.9536,"(6225, 19420)",4013.0,"(5936, 19420)",529.0,596,8427,57344429
10X349_3_matrix.h5,0.1339,"(6634, 20870)",2352.0,"(888, 20870)",536.0,495,8382,57345317
10X319_6_matrix.h5,0.9133,"(3473, 19051)",2333.0,"(3172, 19051)",440.0,621,8579,57348489
10X175_2_matrix.h5,0.1054,"(5881, 20560)",5435.0,"(620, 20560)",697.0,654,8671,57349109
10X175_4_matrix.h5,0.1176,"(5724, 20547)",4251.0,"(673, 20547)",414.0,713,8801,57349782
10X357_1_matrix.h5,0.9557,"(3049, 18234)",3418.0,"(2914, 18234)",755.0,521,6897,57352696
10X385_5_matrix.h5,0.9587,"(4287, 18713)",2623.0,"(4110, 18713)",484.0,541,7035,57356806
10X206_6_matrix.h5,0.1627,"(7622, 20731)",5453.0,"(1240, 20731)",476.0,721,8879,57358046
10X160_2_matrix.h5,0.0557,"(6482, 20603)",3428.0,"(361, 20603)",258.0,715,8467,57358407
10X348_6_matrix.h5,0.1265,"(6350, 20838)",2064.0,"(803, 20838)",439.0,534,8238,57359210
10X243_3_matrix.h5,0.8426,"(4746, 19498)",4939.0,"(3999, 19498)",550.0,502,7995,57363209
10X350_6_matrix.h5,0.1325,"(4983, 20598)",2448.0,"(660, 20598)",600.0,731,8943,57363869
10X190_8_matrix.h5,0.1989,"(5994, 20426)",2524.0,"(1192, 20426)",1087.0,471,9798,57365061
10X221_7_matrix.h5,0.7466,"(5494, 19317)",1274.0,"(4102, 19317)",584.0,754,5434,57369163
10X173_4_matrix.h5,0.2046,"(4286, 20764)",7003.0,"(877, 20764)",339.0,421,10036,57370040
10X249_4_matrix.h5,0.0917,"(5780, 20421)",4113.0,"(530, 20421)",571.0,690,8099,57370570
10X194_2_matrix.h5,0.2328,"(3994, 19774)",2143.0,"(930, 19774)",248.0,677,8557,57371500
10X269_4_matrix.h5,0.1369,"(6077, 20378)",3264.0,"(832, 20378)",920.0,613,7576,57372332
10X172_5_matrix.h5,0.0572,"(5869, 21000)",3413.0,"(336, 21000)",436.0,765,9383,57372668
10X145_3_matrix.h5,0.0182,"(5760, 20648)",8604.0,"(105, 20648)",299.0,861,10584,57372773
10X388_6_matrix.h5,0.2275,"(4329, 20407)",3946.0,"(985, 20407)",652.0,545,7489,57373758
10X172_1_matrix.h5,0.0601,"(5843, 20899)",6387.0,"(351, 20899)",451.0,676,9323,57374109
10X216_8_matrix.h5,0.1376,"(6045, 20611)",4337.0,"(832, 20611)",853.0,467,10895,57374941
10X386_3_matrix.h5,0.1373,"(4000, 20246)",3563.0,"(549, 20246)",672.0,568,7237,57375490
10X264_3_matrix.h5,0.1243,"(5099, 20665)",3299.0,"(634, 20665)",598.0,570,8641,57376124
10X380_8_matrix.h5,0.6518,"(3754, 19060)",1176.0,"(2447, 19060)",483.0,478,4520,57378571
10X173_1_matrix.h5,0.0401,"(3891, 20867)",4258.0,"(156, 20867)",380.0,710,10035,57378727
10X159_3_matrix.h5,0.0849,"(5265, 20165)",4546.0,"(447, 20165)",515.0,592,8714,57379174
10X241_2_matrix.h5,0.1581,"(5719, 20524)",2969.0,"(904, 20524)",381.0,580,8450,57380078
10X172_7_matrix.h5,0.0429,"(6557, 21111)",3692.0,"(281, 21111)",418.0,652,9998,57380359
10X356_8_matrix.h5,0.1819,"(7120, 20722)",4500.0,"(1295, 20722)",1216.0,647,7520,57381654
10X382_2_matrix.h5,0.116,"(5984, 20629)",3252.0,"(694, 20629)",302.0,662,8194,57382348
