,idx
ACSL5,211
ACSL6,212
ACSL6-AS1,213
ACSM1,214
ACSM2A,215
ACSM2B,216
ACSM3,217
ACSM4,218
ACSM5,219
ACSM6,220
ACSS1,221
ACSS2,222
ACSS3,223
ACTA1,224
ACTA2,225
ACTA2-AS1,226
ACTB,227
ACTBL2,228
ACTC1,229
ACTG1,230
ACTG2,231
ACTL6A,232
ACTL6B,233
ACTL7A,234
ACTL7B,235
ACTL8,236
ACTL9,237
ACTL10,238
ACTMAP,239
ACTN1,240
ACTN1-DT,241
ACTN2,242
ACTN3,243
ACTN4,244
ACTR1A,245
ACTR1B,246
ACTR2,247
ACTR3,248
ACTR3-AS1,249
ACTR3B,250
ACTR3C,251
ACTR5,252
ACTR6,253
ACTR8,254
ACTR10,255
ACTRT1,256
ACTRT2,257
ACTRT3,258
ACVR1,259
ACVR1B,260
ACVR1C,261
ACVR2A,262
ACVR2B,263
ACVR2B-AS1,264
ACVRL1,265
ACY1,266
ACY3,267
ACYP1,268
ACYP2,269
ADA,270
ADA2,271
ADAD1,272
ADAD2,273
ADAL,274
ADAM2,275
ADAM7,276
ADAM7-AS1,277
ADAM8,278
ADAM9,279
ADAM10,280
ADAM11,281
ADAM12,282
ADAM15,283
ADAM17,284
ADAM18,285
ADAM19,286
ADAM20,287
ADAM21,288
ADAM22,289
ADAM23,290
ADAM28,291
ADAM29,292
ADAM30,293
ADAM32,294
ADAM33,295
ADAMDEC1,296
ADAMTS1,297
ADAMTS2,298
ADAMTS3,299
ADAMTS4,300
ADAMTS5,301
ADAMTS6,302
ADAMTS7,303
ADAMTS8,304
ADAMTS9,305
ADAMTS9-AS1,306
ADAMTS9-AS2,307
ADAMTS10,308
ADAMTS12,309
ADAMTS13,310
ADAMTS14,311
ADAMTS15,312
ADAMTS16,313
ADAMTS16-DT,314
ADAMTS17,315
ADAMTS18,316
ADAMTS19,317
ADAMTS19-AS1,318
ADAMTS20,319
ADAMTSL1,320
ADAMTSL2,321
ADAMTSL3,322
ADAMTSL4,323
ADAMTSL4-AS1,324
ADAMTSL4-AS2,325
ADAMTSL5,326
ADAP1,327
ADAP2,328
ADAR,329
ADARB1,330
ADARB2,331
ADARB2-AS1,332
ADAT1,333
ADAT2,334
ADAT3,335
ADCK1,336
ADCK2,337
ADCK5,338
ADCY1,339
ADCY2,340
ADCY3,341
ADCY4,342
ADCY5,343
ADCY6,344
ADCY6-DT,345
ADCY7,346
ADCY8,347
ADCY9,348
ADCY10,349
ADCYAP1,350
ADCYAP1R1,351
ADD1,352
ADD2,353
ADD3,354
ADD3-AS1,355
ADGB,356
